ref;speed;CSpeed;State0
1617;20;20;2
1618;21;21;2
1619;22;22;2
1620;23;23;2
1621;25;25;2
1622;27;27;2
1623;28;28;2
1624;28;28;2
1625;30;30;2
1626;30;30;2
1627;30;30;2
1628;30;30;2
1629;31;31;2
1630;31;31;2
1631;32;32;2
1632;31;31;2
1633;32;32;2
1634;33;33;2
1635;32;32;2
1636;33;33;2
1637;33;33;2
1638;33;33;2
1639;33;33;2
1640;32;32;2
1641;32;32;2
1642;32;32;2
1643;31;31;2
1644;32;32;2
1645;31;31;2
1646;31;31;2
1647;32;32;2
1648;31;31;2
1649;31;31;2
1650;31;31;2
1651;31;31;2
1652;30;30;2
1653;30;30;2
1654;30;30;2
1655;29;29;2
1656;28;28;2
