Times;Class_based_Speed;First_Classification;Snd_Classification;Heuristic_correction;States_REAL;States_Simio;Speed(km/h)
642;1;1;1;1;1;1;1
643;0;1;1;1;1;1;0
644;0;1;1;1;1;1;0
645;1;1;1;1;1;1;1
646;0;1;1;1;1;1;0
647;0;1;1;1;1;1;0
648;0;1;1;1;1;1;0
649;0;1;1;1;1;1;0
650;0;1;1;1;1;1;0
651;0;1;1;1;1;1;0
652;0;1;1;1;1;1;0
653;1;1;1;1;1;1;1
654;1;1;1;1;1;1;2
655;1;1;1;1;1;1;3
656;1;1;1;1;1;1;3
657;1;1;1;1;1;1;2
658;1;1;1;1;1;1;2
659;1;1;1;1;1;1;1
660;0;1;1;1;1;1;0
661;0;1;1;1;1;1;0
662;0;1;1;1;1;1;0
663;0;1;1;1;1;1;0
664;0;1;1;1;1;1;0
665;0;1;1;1;1;1;0
666;0;1;1;1;1;1;0
667;0;1;1;1;1;1;0
668;0;1;1;1;1;1;0
669;0;1;1;1;1;1;0
670;0;1;1;1;1;1;0
671;1;1;1;1;1;1;1
672;1;1;1;1;1;1;3
673;1;1;1;1;1;1;2
674;1;1;1;1;1;1;3
675;1;1;1;1;1;1;3
676;1;1;1;1;1;1;4
677;1;1;1;1;1;1;4
678;1;1;1;1;1;1;4
679;1;1;1;1;1;1;3
680;1;1;1;1;1;1;5
681;1;1;1;1;1;1;4
682;1;1;1;1;1;1;4
683;1;1;1;1;1;1;4
684;1;1;1;1;1;1;3
685;1;1;1;1;1;1;2
686;1;1;1;1;1;1;1
687;1;1;1;1;1;1;1
688;0;1;1;1;1;1;0
689;0;1;1;1;1;1;0
690;0;1;1;1;1;1;0
691;0;1;1;1;1;1;0
692;0;1;1;1;1;1;0
693;0;1;1;1;0;0;0
694;0;1;1;1;0;0;0
695;0;1;1;1;0;0;0
696;0;0;0;0;0;0;0
697;0;0;0;0;0;0;0
698;1;0;0;0;0;0;1
699;0;0;0;0;0;0;0
700;0;0;0;0;0;0;0
701;0;0;0;0;0;0;0
702;0;0;0;0;0;0;0
703;0;0;0;0;0;0;0
704;0;0;0;0;0;0;0
705;1;0;0;0;0;0;1
706;1;0;0;0;0;0;1
707;1;0;0;0;0;0;1
708;1;0;0;0;0;0;1
709;1;0;0;0;0;0;1
710;1;0;0;0;0;0;2
711;1;0;0;0;0;0;2
712;1;0;0;0;0;0;1
713;0;0;0;0;0;0;0
714;0;0;0;0;0;0;0
715;0;0;0;0;0;0;0
716;0;0;0;0;0;0;0
717;0;0;0;0;0;0;0
718;1;0;0;0;0;0;1
719;1;0;0;0;0;0;1
720;1;0;0;0;0;0;1
721;0;0;0;0;0;0;0
722;0;0;0;0;0;0;0
723;0;0;0;0;0;0;0
724;0;0;0;0;0;0;0
725;0;0;0;0;0;0;0
726;0;0;0;0;0;0;0
